id,Model name,Process,TDP,Release Year
482,AMD Mobile Athlon 64 2800+,130,62,2004
483,AMD Mobile Athlon 64 2800+,130,35,2004
484,AMD Mobile Athlon 64 3000+,130,82,2003
485,AMD Mobile Athlon 64 3000+,130,35,2004
486,AMD Mobile Athlon 64 3000+,130,62,2004
487,AMD Mobile Athlon 64 3200+,130,82,2003
488,AMD Mobile Athlon 64 3200+,130,62,2004
489,AMD Mobile Athlon 64 3400+,130,62,2005
490,AMD Mobile Athlon 64 3400+,130,82,2005
491,AMD Mobile Athlon 64 3700+,130,82,2005
492,AMD Opteron 140,130,85,2003
493,AMD Opteron 140,130,82,2003
494,AMD Opteron 140,130,82,2004
495,AMD Opteron 140 EE,130,30,2004
496,AMD Opteron 142,130,82,2003
497,AMD Opteron 142,130,85,2003
498,AMD Opteron 142,130,82,2004
499,AMD Opteron 144,130,82,2003
500,AMD Opteron 144,130,85,2003
501,AMD Opteron 144,130,82,2004
502,AMD Opteron 144,90,67,2005
503,AMD Opteron 144,90,67,2005
504,AMD Opteron 146,130,89,2003
505,AMD Opteron 146,90,67,2005
506,AMD Opteron 146,90,67,2005
507,AMD Opteron 146,90,67,2005
508,AMD Opteron 146 HE,130,55,2004
509,AMD Opteron 148,130,89,2003
510,AMD Opteron 148,130,89,2004
511,AMD Opteron 148,90,85,2005
512,AMD Opteron 148,90,85,2005
513,AMD Opteron 148 HE,90,55,2004
514,AMD Opteron 150,130,89,2004
515,AMD Opteron 150,90,85,2005
516,AMD Opteron 150,90,85,2005
517,AMD Opteron 152,90,104,2005
518,AMD Opteron 152,90,104,2005
519,AMD Opteron 154,90,104,2005
520,AMD Opteron 156,90,104,2005
521,AMD Opteron 2350 HE,65,79,2008
522,AMD Opteron 240,130,82,2003
523,AMD Opteron 240,130,85,2003
524,AMD Opteron 240,130,82,2004
525,AMD Opteron 240 EE,130,30,2004
526,AMD Opteron 242,130,85,2003
527,AMD Opteron 242,130,82,2003
528,AMD Opteron 242,130,82,2004
529,AMD Opteron 242,90,85,2004
530,AMD Opteron 244,130,82,2003
531,AMD Opteron 244,130,85,2003
532,AMD Opteron 244,130,82,2004
533,AMD Opteron 244,90,85,2004
534,AMD Opteron 246,130,89,2003
535,AMD Opteron 246,90,85,2004
536,AMD Opteron 246,90,85,2004
537,AMD Opteron 246 HE,130,55,2004
538,AMD Opteron 246 HE,90,55,2005
539,AMD Opteron 248,130,89,2003
540,AMD Opteron 248,90,85,2004
541,AMD Opteron 248,130,89,2004
542,AMD Opteron 248,90,85,2004
543,AMD Opteron 248 HE,90,55,2005
544,AMD Opteron 250,130,89,2004
545,AMD Opteron 250,90,85,2004
546,AMD Opteron 250 HE,90,55,2005
547,AMD Opteron 252,90,92,2005
548,AMD Opteron 254,90,92,2005
549,AMD Opteron 3320 EE,32,25,2012
550,AMD Opteron 3350 HE,32,45,2012
551,AMD Opteron 3380,32,65,2012
552,AMD Opteron 4310 EE,32,35,2012
553,AMD Opteron 4332 HE,32,65,2012
554,AMD Opteron 4334,32,95,2012
555,AMD Opteron 4340,32,95,2012
556,AMD Opteron 4376 HE,32,65,2012
557,AMD Opteron 4386,32,95,2012
558,AMD Opteron 43CX EE,32,35,2012
559,AMD Opteron 43GK HE,32,65,2012
560,AMD Opteron 6168,45,115,2010
561,AMD Opteron 6262 HE,32,85,2011
562,AMD Opteron 6272,32,115,2011
563,AMD Opteron 6274,32,115,2011
564,AMD Opteron 6276,32,115,2011
565,AMD Opteron 6278,32,115,2012
566,AMD Opteron 6282 SE,32,140,2011
567,AMD Opteron 6284 SE,32,140,2012
568,AMD Opteron 6348,32,115,2012
569,AMD Opteron 6366 HE,32,85,2012
570,AMD Opteron 6376,32,115,2012
571,AMD Opteron 6378,32,115,2012
572,AMD Opteron 6380,32,115,2012
573,AMD Opteron 6386 SE,32,140,2012
574,AMD Opteron 840,130,82,2003
575,AMD Opteron 840,130,85,2003
576,AMD Opteron 840,130,82,2004
577,AMD Opteron 840 EE,130,30,2004
578,AMD Opteron 842,130,82,2003
579,AMD Opteron 842,130,85,2003
580,AMD Opteron 842,90,85,2004
581,AMD Opteron 842,130,82,2004
582,AMD Opteron 844,130,82,2003
583,AMD Opteron 844,130,85,2003
584,AMD Opteron 844,90,85,2004
585,AMD Opteron 844,130,82,2004
586,AMD Opteron 846,130,89,2003
587,AMD Opteron 846,90,85,2004
588,AMD Opteron 846,90,85,2004
589,AMD Opteron 846 HE,130,55,2004
590,AMD Opteron 846 HE,90,55,2005
591,AMD Opteron 848,130,89,2003
592,AMD Opteron 848,90,85,2004
593,AMD Opteron 848,130,89,2004
594,AMD Opteron 848 HE,90,55,2005
595,AMD Opteron 850,130,89,2004
596,AMD Opteron 850,90,85,2004
597,AMD Opteron 850 HE,90,55,2005
598,AMD Opteron 852,90,92,2005
599,AMD Opteron 854,90,92,2005
600,AMD Opteron 856,90,92,2006
601,AMD Opteron A1120,28,25,2016
602,AMD Opteron A1150,28,32,2016
603,AMD Opteron A1170,28,32,2016
604,AMD Opteron X1150,28,17,2013
605,AMD Opteron X2 165,90,110,2005
606,AMD Opteron X2 170,90,110,2005
607,AMD Opteron X2 175,90,110,2005
608,AMD Opteron X2 180,90,110,2005
609,AMD Opteron X2 185,90,110,2006
610,AMD Opteron X2 260 HE,90,55,2005
611,AMD Opteron X2 265,90,95,2005
612,AMD Opteron X2 265 HE,90,55,2005
613,AMD Opteron X2 270,90,95,2005
614,AMD Opteron X2 270 HE,90,55,2005
615,AMD Opteron X2 275,90,95,2005
616,AMD Opteron X2 275 HE,90,55,2006
617,AMD Opteron X2 280,90,95,2005
618,AMD Opteron X2 285,90,95,2006
619,AMD Opteron X2 290,90,95,2006
620,AMD Opteron X2 860 HE,90,55,2005
621,AMD Opteron X2 865,90,95,2005
622,AMD Opteron X2 865 HE,90,55,2005
623,AMD Opteron X2 870,90,95,2005
624,AMD Opteron X2 870 HE,90,55,2005
625,AMD Opteron X2 875,90,95,2005
626,AMD Opteron X2 875 HE,90,55,2006
627,AMD Opteron X2 880,90,95,2005
628,AMD Opteron X2 885,90,95,2006
629,AMD Opteron X2 890,90,95,2006
630,AMD Opteron X2150,28,22,2013
631,AMD Opteron X2170,28,25,2016
632,AMD Phenom II 42 TWKR Black Edition,45,125,2009
633,AMD Phenom II X2 545,45,80,2009
634,AMD Phenom II X2 550,45,80,2009
635,AMD Phenom II X2 550 BE,45,80,2009
636,AMD Phenom II X2 555 BE,45,80,2010
637,AMD Phenom II X2 560 BE,45,80,2010
638,AMD Phenom II X2 565 BE,45,80,2010
639,AMD Phenom II X2 570 BE,45,80,2010
640,AMD Phenom II X2 B53,45,80,2009
641,AMD Phenom II X2 B55,45,80,2009
642,AMD Phenom II X2 B57,45,80,2010
643,AMD Phenom II X3 700e,45,65,2009
644,AMD Phenom II X3 705e,45,65,2009
645,AMD Phenom II X3 710,45,95,2009
