,idPhoronix,nb_models,ls_architecture,ls_cpuop-mode,ls_cpu,ls_threadpercore,ls_corepersocket,ls_socket,ls_numanode,ls_vendorid,ls_cpufamily,ls_model,ls_modelname,ls_stepping,ls_cpumhz,ls_cpumaxmhz,ls_cpuminmhz,ls_bogomips,ls_l1dcache,ls_l1icache,ls_l2cache,ls_l3cache,cp_vendor_id,cp_cpufamily,cp_model,cp_modelname,cp_stepping,cp_cpumhz,cp_cachesize,cp_physicalid,cp_siblings,cp_cpucores,cp_apicid,cp_cpuidlevel,cp_bogomips,cp_clflushsize,cp_cache_alignment,cp_addresssizes,price_dollar,cp_modelname.1,ls_range,ls_modelname.1,id,Model name,Process,TDP,Release Year
39.0,AMDA4-5300APU,1,x86_64,32.64,2.0,2.0,1.0,1.0,1.0,AuthenticAMD,21.0,16.0,,1.0,3400.0,3400.0,3400.0,6787.21,16.0,64.0,1024.0,,AuthenticAMD,21.0,16.0,AMDA4-5300APUwithRadeon(tm)HDGraphics,1.0,3400.0,1024.0,0.0,2.0,1.0,16.0,13.0,6787.21,64.0,64.0,48.48,27.0,AMD A4-5300APUwithRadeonHDGraphics,AMD A,,AMD A4-5300APU,AMD A4-5300,32.0,65.0,2012.0
41.0,AMDA4-6300APU,1,x86_64,32.64,2.0,2.0,1.0,1.0,1.0,AuthenticAMD,21.0,19.0,AMDA4-6300APUwithRadeon(tm)HDGraphics,1.0,3854.823,3700.0,1800.0,7785.02,16.0,64.0,1024.0,,AuthenticAMD,21.0,19.0,AMDA4-6300APUwithRadeon(tm)HDGraphics,1.0,3249.85,1024.0,0.0,2.0,1.0,16.0,13.0,7785.02,64.0,64.0,48.48,25.0,AMD A4-6300APUwithRadeonHDGraphics,AMD A,AMD A4-6300APUwithRadeonHDGraphics,AMD A4-6300APU,AMD A4-6300,32.0,65.0,2013.0
44.0,AMDA6-3410MXAPU,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,AuthenticAMD,18.0,1.0,AMDA6-3410MXAPUwithRadeon(tm)HDGraphics,0.0,1597.082,1600.0,800.0,3194.16,64.0,64.0,1024.0,,AuthenticAMD,18.0,1.0,AMDA6-3410MXAPUwithRadeon(tm)HDGraphics,0.0,1597.082,1024.0,0.0,4.0,4.0,0.0,6.0,3194.16,64.0,64.0,40.48,4.0,AMD A6-3410MXAPUwithRadeonHDGraphics,AMD A,AMD A6-3410MXAPUwithRadeonHDGraphics,AMD A6-3410MXAPU,AMD A6-3410MX,32.0,45.0,2011.0
51.0,AMDA6-3670APU,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,AuthenticAMD,18.0,1.0,,0.0,2700.0,2700.0,2700.0,5399.63,64.0,64.0,1024.0,,AuthenticAMD,18.0,1.0,AMDA6-3670APUwithRadeon(tm)HDGraphics,0.0,800.0,1024.0,0.0,4.0,4.0,0.0,6.0,5390.41,64.0,64.0,40.48,177.0,AMD A6-3670APUwithRadeonHDGraphics,AMD A,,AMD A6-3670APU,AMD A6-3670K,32.0,100.0,2011.0
52.0,AMDA6-4400MAPU,1,x86_64,32.64,2.0,2.0,1.0,1.0,,AuthenticAMD,21.0,16.0,,,2700.0,2700.0,2700.0,5390.3,16.0,64.0,1024.0,,AuthenticAMD,21.0,16.0,AMDA6-4400MAPUwithRadeon(tm)HDGraphics,1.0,1700.0,1024.0,0.0,2.0,1.0,16.0,13.0,5389.62,64.0,64.0,48.48,27.0,AMD A6-4400MAPUwithRadeonHDGraphics,AMD A,,AMD A6-4400MAPU,AMD A6-4400M,32.0,35.0,2012.0
59.0,AMDA6-5400KAPU,1,,,,,,,,,21.0,16.0,AMDA6-5400KAPUwithRadeon(tm)HDGraphics,1.0,1100.0,1100.0,1100.0,9183.8,,,,,AuthenticAMD,21.0,16.0,AMDA6-5400KAPUwithRadeon(tm)HDGraphics,1.0,3600.0,1024.0,0.0,2.0,1.0,16.0,13.0,7186.12,64.0,64.0,48.48,52.0,AMD A6-5400KAPUwithRadeonHDGraphics,AMD A,AMD A6-5400KAPUwithRadeonHDGraphics,AMD A6-5400KAPU,AMD A6-5400K,32.0,65.0,2012.0
60.0,AMDA6-6400KAPU,1,x86_64,32.64,2.0,2.0,1.0,1.0,1.0,AuthenticAMD,21.0,19.0,,,4200.0,4200.0,4200.0,8384.9,16.0,64.0,1024.0,,AuthenticAMD,21.0,19.0,AMDA6-6400KAPUwithRadeon(tm)HDGraphics,1.0,4499.887,1024.0,0.0,2.0,1.0,16.0,13.0,8999.77,64.0,64.0,48.48,51.0,AMD A6-6400KAPUwithRadeonHDGraphics,AMD A,,AMD A6-6400KAPU,AMD A6-6400K,32.0,65.0,2013.0
74.0,AMDA8-3870APU,1,x86_64,32.64,4.0,1.0,4.0,,,AuthenticAMD,18.0,1.0,,0.0,800.0,800.0,800.0,6915.67,64.0,64.0,1024.0,,AuthenticAMD,18.0,1.0,AMDA8-3870APUwithRadeon(tm)HDGraphics,0.0,800.0,1024.0,0.0,4.0,4.0,0.0,6.0,6916.08,64.0,64.0,40.48,68.0,AMD A8-3870APUwithRadeonHDGraphics,AMD A,,AMD A8-3870APU,AMD A8-3870K,32.0,100.0,2011.0
83.0,AMDA8-6500APU,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,21.0,19.0,,1.0,1700.0,1700.0,1700.0,6987.16,16.0,64.0,2048.0,,AuthenticAMD,21.0,19.0,AMDA8-6500APUwithRadeon(tm)HDGraphics,1.0,1700.0,2048.0,0.0,4.0,2.0,16.0,13.0,6987.16,64.0,64.0,48.48,44.0,AMD A8-6500APUwithRadeonHDGraphics,AMD A,,AMD A8-6500APU,AMD A8-6500,32.0,65.0,2013.0
90.0,AMDA9-9425RADEONR55COMPUTECORES2C,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,21.0,112.0,AMDA9-9425RADEONR5.5COMPUTECORES2C+3G,0.0,2794.636,3100.0,1400.0,6190.18,64.0,128.0,2000.0,,AuthenticAMD,21.0,112.0,AMDA9-9425RADEONR5.5COMPUTECORES2C+3G,0.0,2794.6820000000002,1024.0,0.0,2.0,2.0,16.0,13.0,6190.18,64.0,64.0,48.48,300.0,AMD A9-9425RADEONR5.5COMPUTECORES2C+3G,AMD A,AMD A9-9425RADEONR5.5COMPUTECORES2C+3G,AMD A9-9425RADEONR55COMPUTECORES2C,AMD A9-9425 SoC,28.0,15.0,2016.0
101.0,AMDAthlon200GE,1,x86_64,,4.0,,,,,,23.0,17.0,,,2513.397,3200.0,1600.0,6387.86,64.0,128.0,1000.0,4000.0,AuthenticAMD,23.0,17.0,AMDAthlon200GEwithRadeonVegaGraphics,0.0,2137.266,512.0,0.0,4.0,2.0,0.0,13.0,6387.86,64.0,64.0,43.48,125.0,AMD Athlon 200GEwithRadeonVegaGraphics,AMD Athlon,,AMD Athlon 200GE,AMD Athlon 200GE,14.0,35.0,2018.0
106.0,AMDAthlon3000G,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,AuthenticAMD,23.0,24.0,AMDAthlon3000GwithRadeonVegaGraphics,1.0,1986.63,1986.64,1986.65,6999.55,64.0,128.0,1000.0,4000.0,AuthenticAMD,23.0,24.0,AMDAthlon3000GwithRadeonVegaGraphics,1.0,2190.4179999999997,512.0,0.0,4.0,2.0,0.0,13.0,6999.55,64.0,64.0,43.48,55.0,AMD Athlon 3000GwithRadeonVegaGraphics,AMD Athlon,AMD Athlon 3000GwithRadeonVegaGraphics,AMD Athlon 3000G,AMD Athlon 3000G,14.0,35.0,2019.0
153.0,AMDAthlon643500,1,x86_64,32.64,1.0,1.0,1.0,1.0,1.0,AuthenticAMD,15.0,79.0,,2.0,2210.1420000000003,2210.143,2210.144,4420.28,64.0,64.0,512.0,,AuthenticAMD,15.0,79.0,AMDAthlon(tm)64Processor3500+,2.0,2210.1420000000003,512.0,0.0,1.0,1.0,0.0,1.0,4420.28,64.0,64.0,40.48,80.0,AMD Athlon 64Processor3500+,AMD Athlon,,AMD Athlon 643500,AMD Athlon 64 3500+,90.0,67.0,2005.0
162.0,AMDAthlon643700,1,x86_64,64.0,1.0,1.0,1.0,,1.0,AuthenticAMD,15.0,39.0,,1.0,2200.0,2200.0,2200.0,,64.0,64.0,1024.0,,AuthenticAMD,15.0,39.0,AMDAthlon(tm)64Processor3700+,1.0,2200.0,1024.0,,,,,1.0,4420.47,64.0,64.0,40.48,90.0,AMD Athlon 64Processor3700+,AMD Athlon,,AMD Athlon 643700,AMD Athlon 64 3700+,130.0,89.0,2004.0
203.0,AMDAthlon64X23800,1,x86_64,32.64,2.0,,,1.0,1.0,,15.0,,,2.0,2000.0,2000.0,2000.0,4011.54,64.0,64.0,512.0,,AuthenticAMD,15.0,67.0,AMDAthlon(tm)64X2DualCoreProcessor3800+,2.0,2000.0,512.0,0.0,2.0,2.0,0.0,1.0,4011.54,64.0,64.0,40.48,14.0,AMD Athlon 64X2DualCoreProcessor3800+,AMD Athlon,,AMD Athlon 64X23800,AMD Athlon 64 X2 3800+,90.0,89.0,2005.0
211.0,AMDAthlon64X24000,1,i686,32.64,2.0,1.0,2.0,1.0,,AuthenticAMD,15.0,107.0,,1.0,2100.0,2100.0,2100.0,4219.51,64.0,64.0,512.0,,AuthenticAMD,15.0,107.0,AMDAthlon(tm)64X2DualCoreProcessor4000+,1.0,2100.0,512.0,0.0,2.0,2.0,0.0,1.0,4219.51,64.0,64.0,40.48,8.0,AMD Athlon 64X2DualCoreProcessor4000+,AMD Athlon,,AMD Athlon 64X24000,AMD Athlon 64 X2 4200+,90.0,89.0,2006.0
229.0,AMDAthlon64X25000,1,i686,32.64,2.0,1.0,2.0,1.0,,AuthenticAMD,15.0,107.0,,2.0,2600.0,2600.0,2600.0,5199.28,64.0,64.0,512.0,,AuthenticAMD,15.0,107.0,AMDAthlon(tm)64X2DualCoreProcessor5000+,2.0,2600.0,512.0,0.0,2.0,2.0,0.0,1.0,5199.28,64.0,64.0,40.48,9.0,AMD Athlon 64X2DualCoreProcessor5000+,AMD Athlon,,AMD Athlon 64X25000,AMD Athlon 64 X2 5000+,65.0,65.0,2006.0
233.0,AMDAthlon64X25200,1,x86_64,32.64,2.0,1.0,2.0,,1.0,AuthenticAMD,15.0,107.0,,2.0,2692.823,2692.824,2692.825,5385.86,64.0,64.0,512.0,,AuthenticAMD,15.0,67.0,AMDAthlon(tm)64X2DualCoreProcessor5200+,2.0,2600.0,1024.0,0.0,2.0,2.0,0.0,1.0,5211.05,64.0,64.0,40.48,7.0,AMD Athlon 64X2DualCoreProcessor5200+,AMD Athlon,,AMD Athlon 64X25200,AMD Athlon 64 X2 5200+,90.0,89.0,2006.0
242.0,AMDAthlon64X26000,1,x86_64,,2.0,,,1.0,,,15.0,107.0,,2.0,1000.0,1000.0,1000.0,2004.3,,,,,AuthenticAMD,15.0,107.0,AMDAthlon(tm)64X2DualCoreProcessor6000+,2.0,1000.0,512.0,0.0,2.0,2.0,0.0,1.0,2004.3,64.0,64.0,40.48,23.0,AMD Athlon 64X2DualCoreProcessor6000+,AMD Athlon,,AMD Athlon 64X26000,AMD Athlon 64 X2 6000+,90.0,125.0,2007.0
257.0,AMDAthlonIIX2215,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2215Processor,2.0,800.0,2700.0,800.0,5424.74,64.0,64.0,512.0,,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2215Processor,2.0,800.0,512.0,0.0,2.0,2.0,0.0,5.0,5424.74,64.0,64.0,48.48,29.0,AMD Athlon IIX2215Processor,AMD Athlon,AMD Athlon IIX2215Processor,AMD Athlon IIX2215,AMD Athlon II X2 215,45.0,65.0,2009.0
262.0,AMDAthlonIIX2245,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,16.0,6.0,,2.0,2900.0,2900.0,2900.0,6107.5,64.0,64.0,1024.0,,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2245Processor,2.0,800.0,1024.0,0.0,2.0,2.0,0.0,5.0,6107.5,64.0,64.0,48.48,60.0,AMD Athlon IIX2245Processor,AMD Athlon,,AMD Athlon IIX2245,AMD Athlon II X2 245,45.0,65.0,2009.0
264.0,AMDAthlonIIX2250,1,x86_64,32.64,2.0,1.0,2.0,1.0,,AuthenticAMD,16.0,6.0,,2.0,3013.813,3013.8140000000003,3013.815,6027.62,64.0,64.0,1024.0,,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2250Processor,3.0,3000.0,1024.0,0.0,2.0,2.0,0.0,5.0,7500.27,64.0,64.0,48.48,39.0,AMD Athlon IIX2250Processor,AMD Athlon,,AMD Athlon IIX2250,AMD Athlon II X2 250,45.0,65.0,2009.0
268.0,AMDAthlonIIX2260,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,16.0,6.0,,3.0,800.0,800.0,800.0,6429.21,64.0,64.0,1024.0,,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2260Processor,3.0,1900.0,1024.0,0.0,2.0,2.0,0.0,5.0,6429.2,64.0,64.0,48.48,45.0,AMD Athlon IIX2260Processor,AMD Athlon,,AMD Athlon IIX2260,AMD Athlon II X2 260,45.0,65.0,2010.0
271.0,AMDAthlonIIX2270,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,16.0,6.0,,,3400.0,3400.0,3400.0,6800.12,64.0,64.0,1024.0,,AuthenticAMD,16.0,6.0,AMDAthlon(tm)IIX2270Processor,3.0,800.0,1024.0,0.0,2.0,2.0,0.0,5.0,6800.12,64.0,64.0,48.48,20.0,AMD Athlon IIX2270Processor,AMD Athlon,,AMD Athlon IIX2270,AMD Athlon II X2 270,45.0,65.0,2011.0
278.0,AMDAthlonIIX3425,1,x86_64,32.64,3.0,1.0,3.0,1.0,1.0,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX3425Processor,2.0,2705.546,2700.0,800.0,5411.09,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX3425Processor,2.0,2705.546,512.0,0.0,3.0,3.0,0.0,5.0,5411.09,64.0,64.0,48.48,58.0,AMD Athlon IIX3425Processor,AMD Athlon,AMD Athlon IIX3425Processor,AMD Athlon IIX3425,AMD Athlon II X3 425,45.0,95.0,2009.0
283.0,AMDAthlonIIX3450,1,x86_64,32.64,3.0,1.0,3.0,1.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX3450Processor,3.0,800.0,3200.0,800.0,6413.02,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX3450Processor,3.0,3200.0,512.0,0.0,3.0,3.0,0.0,5.0,6413.02,64.0,64.0,48.48,28.0,AMD Athlon IIX3450Processor,AMD Athlon,AMD Athlon IIX3450Processor,AMD Athlon IIX3450,AMD Athlon II X3 450,45.0,95.0,2010.0
290.0,AMDAthlonIIX4620,1,i686,64.0,4.0,1.0,4.0,,,AuthenticAMD,16.0,5.0,,2.0,800.0,800.0,800.0,,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX4620Processor,2.0,2600.23,512.0,0.0,4.0,4.0,0.0,5.0,5200.46,64.0,64.0,48.48,55.0,AMD Athlon IIX4620Processor,AMD Athlon,,AMD Athlon IIX4620,AMD Athlon II X4 620,45.0,95.0,2009.0
292.0,AMDAthlonIIX4630,1,x86_64,32.64,4.0,,,1.0,1.0,,16.0,,,2.0,800.0,800.0,800.0,5599.45,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX4630Processor,2.0,800.0,512.0,0.0,4.0,4.0,0.0,5.0,5599.45,64.0,64.0,48.48,48.0,AMD Athlon IIX4630Processor,AMD Athlon,,AMD Athlon IIX4630,AMD Athlon II X4 630,45.0,95.0,2009.0
294.0,AMDAthlonIIX4635,1,x86_64,64.0,4.0,1.0,4.0,,1.0,AuthenticAMD,16.0,5.0,,3.0,3499.968,3499.969,3499.97,,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX4635Processor,3.0,3499.968,512.0,0.0,4.0,4.0,0.0,5.0,6999.92,64.0,64.0,48.48,39.0,AMD Athlon IIX4635Processor,AMD Athlon,,AMD Athlon IIX4635,AMD Athlon II X4 635,45.0,95.0,2010.0
296.0,AMDAthlonIIX4640,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX4640Processor,3.0,800.0,3000.0,800.0,6028.53,64.0,64.0,512.0,,AuthenticAMD,16.0,5.0,AMDAthlon(tm)IIX4640Processor,3.0,800.0,512.0,0.0,4.0,4.0,0.0,5.0,6028.58,64.0,64.0,48.48,15.0,AMD Athlon IIX4640Processor,AMD Athlon,AMD Athlon IIX4640Processor,AMD Athlon IIX4640,AMD Athlon II X4 640,45.0,95.0,2010.0
376.0,AMDC-60APU,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,20.0,2.0,,0.0,1000.0,1000.0,1000.0,1995.02,32.0,32.0,512.0,,AuthenticAMD,20.0,2.0,AMDC-60APUwithRadeon(tm)HDGraphics,0.0,800.0,512.0,0.0,2.0,2.0,0.0,6.0,1995.02,64.0,64.0,36.48,139.0,AMD C-60APUwithRadeonHDGraphics,,,AMD C-60APU,AMD C-60,40.0,9.0,2011.0
380.0,AMDE-350,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,20.0,1.0,,0.0,800.0,800.0,800.0,3193.16,32.0,32.0,512.0,,AuthenticAMD,20.0,1.0,AMDE-350Processor,0.0,1599.9170000000001,512.0,0.0,2.0,2.0,0.0,6.0,3199.83,64.0,64.0,36.48,30.0,AMD E-350Processor,AMD E,,AMD E-350,AMD E-350,40.0,18.0,2011.0
381.0,AMDE-450APU,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,20.0,2.0,AMDE-450APUwithRadeon(tm)HDGraphics,0.0,825.0,825.0,825.0,3293.1,32.0,32.0,512.0,,AuthenticAMD,20.0,2.0,AMDE-450APUwithRadeon(tm)HDGraphics,0.0,825.0,512.0,0.0,2.0,2.0,0.0,6.0,3293.1,64.0,64.0,36.48,40.0,AMD E-450APUwithRadeonHDGraphics,AMD E,AMD E-450APUwithRadeonHDGraphics,AMD E-450APU,AMD E-450,40.0,18.0,2011.0
383.0,AMDE1-1500APU,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,20.0,2.0,,0.0,822.0,822.0,822.0,2954.63,32.0,32.0,512.0,,AuthenticAMD,20.0,2.0,AMDE1-1500APUwithRadeon(tm)HDGraphics,0.0,822.0,512.0,0.0,2.0,2.0,0.0,6.0,2954.63,64.0,64.0,36.48,50.0,AMD E1-1500APUwithRadeonHDGraphics,AMD E,,AMD E1-1500APU,AMD E1-1500,40.0,18.0,2013.0
384.0,AMDE1-2100APU,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,AuthenticAMD,22.0,0.0,,1.0,800.0,800.0,800.0,1996.35,32.0,32.0,1024.0,,AuthenticAMD,22.0,0.0,AMDE1-2100APUwithRadeon(TM)HDGraphics,1.0,800.0,1024.0,0.0,2.0,2.0,0.0,13.0,1996.19,64.0,64.0,40.48,144.0,AMD E1-2100APUwithRadeonHDGraphics,AMD E,,AMD E1-2100APU,AMD E1-2100,32.0,9.0,2013.0
387.0,AMDE2-1800APU,1,x86_64,64.0,2.0,1.0,2.0,,1.0,AuthenticAMD,20.0,2.0,,0.0,850.0,850.0,850.0,,32.0,32.0,512.0,,AuthenticAMD,20.0,2.0,AMDE2-1800APUwithRadeon(tm)HDGraphics,0.0,850.0,512.0,0.0,2.0,2.0,0.0,6.0,3393.26,64.0,64.0,36.48,50.0,AMD E2-1800APUwithRadeonHDGraphics,AMD E,,AMD E2-1800APU,AMD E2-1800,40.0,18.0,2012.0
392.0,AMDEPYC7232P8-Core,1,x86_64,32.64,16.0,2.0,8.0,1.0,1.0,AuthenticAMD,23.0,49.0,AMDEPYC7232P8-CoreProcessor,0.0,1495.9160000000002,3100.0,1500.0,6188.32,256.0,256.0,4000.0,32000.0,AuthenticAMD,23.0,49.0,AMDEPYC7232P8-CoreProcessor,0.0,1405.453,512.0,0.0,16.0,8.0,0.0,16.0,6188.32,64.0,64.0,43.48,600.0,AMD EPYC 7232P8-CoreProcessor,AMD EPYC,AMD EPYC 7232P8-CoreProcessor,AMD EPYC 7232P8-Core,AMD EPYC 7232P,7.0,120.0,2019.0
