uarch,chip type,launch_year,processor number,idPhoronix,idSPEC,idGeekBench,cache,type_cache,bus_speed,bus_type,instruction set extensions,instruction set,max memory size,memory types,# of memory channels,max memory bandwidth,ecc memory supported,processor graphics,graphics base frequency,graphics max dynamic frequency,graphics video max memory,# of d isplays supported,graphics and imc lithography,pci express revision,pci express lanes,lithography,# of cores,# of threads,base frequency,turbo frequency,tdp-up frequency,tdp-up,tdp-down frequency,t dp-down,tdp (W),turbo boost technology,vpro,hyper-threading,(vt-x),(vt-d),tsx-ni,idle states,speedstep,thermal mo nitoring,identity protection,aes new instructions,secure key,trusted execution,execute disable bit,anti-theft,price
merom,mobile,2006,550,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55
merom,embedded,2006,550,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55
merom,mobile,2008,560,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2.13 ,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merom,mobile,2008,570,,,,1, L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2.26 ,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merom,mobile,2006,573,,,,0.512,L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merom,embedded,2006,573,,,,0.512,L2,0.533,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merom,mobile,2006,575,,,,1, L2,0.667,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66
merom,embedded,2006,575,,,,1, L2,0.667,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66
merom,mobile,2008,585,,,,1, L2,0.667,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,2.16 ,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
penryn,mobile,2008,722,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.2,0,0,0,0,0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,161
penryn,embedded,2008,722,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.2,0,0,0,0,0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,161
penryn,mobile,2008,723,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87
penryn,embedded,2008,723,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87
penryn,mobile,2009,743,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penryn,mobile,2011,763,,,,1, L2,0.8,FSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,1.4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandy bridge,mobile,2011,787,,,,1.5, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,0.95,0,2,32,2,16,32,1,1,1.3,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,797,,,,1.5, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,0.95,0,2,32,2,16,32,1,1,1.4,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,807,,,,1.5, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,0.95,0,2,32,2,16,32,1,2,1.5,0,0,0,0,0,17,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2011,847,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,1,350,0.8,0,2,32,2,16,32,2,2,1.1,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,134
sandy bridge,mobile,2011,857,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,16,32,2,2,1.2,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,867,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,16,32,2,2,1.3,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,877,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,16,32,2,2,1.4,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,887,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,16,32,2,2,1.5,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
penryn,mobile,2009,900,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,2.2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
penryn,mobile,2011,925,,,,1, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,2.3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sandy bridge,mobile,2011,957,,,,2, L3,0,,SSE4.x,64-bit,8,DDR3 1066/1333,2,21.3,0,1,350,0.8,0,2,32,2,1,32,2,2,1.2,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2011,967,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,1,32,2,2,1.3,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,977,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,1,32,2,2,1.4,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,987,,,,2,,5,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,1,32,2,2,1.5,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,mobile,2012,997,,,,2, L3,40,DMI,SSE4.x,64-bit,16,DDR3 1066/1333,2,21.3,0,Intel® HD Graphics,350,1,0,2,32,2,1,32,2,2,1.6,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
sandy bridge,server,2012,1405,,,,5, SmartCache,0,QPI,AVX,64-bit,375,DDR3 800/1066,2,25,1,0,0,0,0,0,0,3,24,32,2,2,1.2,1.8,0,0,0,0,40,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
sandy bridge,embedded,2012,1405,,,,5, SmartCache,0,QPI,AVX,64-bit,375,DDR3 800/1066,2,25,1,0,0,0,0,0,0,3,24,32,2,2,1.2,1.8,0,0,0,0,40,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
merom,server,2007,3040,,Intel Xeon 3040,,2, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.86 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2007,3050,,,,2, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.13 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2006,3060,,Intel Xeon 3060,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.4,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2007,3065,,Intel Xeon 3065,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.33 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0
merom,server,2006,3070,,,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.66 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2006,5110,,Intel Xeon 5110,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.6,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2000,5113,,,,4, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.6,0,0,0,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
merom,server,2006,5120,,Intel Xeon 5120,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.86 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2006,5128,,,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.86 ,0,0,0,0,0,40,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,embedded,2006,5128,,,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,1.86 ,0,0,0,0,0,40,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2006,5130,,Intel Xeon 5130,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,embedded,2006,5130,,,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2000,5133,,,,4, L2,0.8,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.2,0,0,0,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
merom,server,2006,5138,,,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.13 ,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,494
merom,embedded,2006,5138,,,,4, L2,1.066,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.13 ,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,494
merom,server,2006,5140,,Intel Xeon 5140,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.33 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,478
merom,embedded,2006,5140,,,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.33 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,478
merom,server,2006,5148,,Intel Xeon 5148,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.33 ,0,0,0,0,0,40,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,549
merom,embedded,2006,5148,,,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.33 ,0,0,0,0,0,40,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,549
merom,server,2006,5150,,Intel Xeon 5150,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,2.66 ,0,0,0,0,0,65,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
merom,server,2006,5160,,Intel Xeon 5160,,4, L2,1.333,FSB,0,64-bit,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,2,3,0,0,0,0,0,80,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
ivy bridge,mobile,2013,1000M,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,650,1,0,3,22,2,1,22,2,2,1.8,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,mobile,2013,1005M,,,,2,,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,650,1,0,3,22,2,1,22,2,2,1.9,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,mobile,2013,1007U,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,1,0,3,22,2,1,22,2,2,1.5,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,mobile,2013,1017U,,,,2,,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,1,0,3,22,2,1,22,2,2,1.6,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,mobile,2013,1019Y,,,,2,,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,0.8,0,3,22,0,0,22,2,2,1,0,0,0,0,0,10,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
ivy bridge,embedded,2013,1020E,,,,2, SmartCache,40,DMI,SSE4.1/4.2,64-bit,16,DDR3/DDR3L 1333/1600,2,25.6,1,Intel® HD Graphics,650,1,0,3,22,2,1,22,2,2,2.2,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,81
ivy bridge,mobile,2013,1020M,,,,2, SmartCache,40,DMI,SSE4.1/4.2,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,650,1,0,3,22,2,1,22,2,2,2.1,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,mobile,2013,1037U,,,,2, SmartCache,40,DMI,SSE4.1/4.2,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,1,0,3,22,2,1,22,2,2,1.8,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,75
ivy bridge,embedded,2013,1047UE,,,,2, SmartCache,40,DMI,0,64-bit,16,DDR3/DDR3L 1333/1600,2,25.6,1,Intel® HD Graphics,350,0.9,0,2,22,2,1,22,2,2,1.4,0,0,0,0,0,17,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,127
ivy bridge,embedded,2014,1405V2,,,,6, SmartCache,0,,AVX,64-bit,384,DDR3 800/1066/1333,2,38.4 ,1,0,0,0,0,0,0,3,24,22,2,2,1.4,0,0,0,0,0,40,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,156
haswell,embedded,2014,2000E,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,1,Intel® HD Graphics,400,0.900,1,3,22,3,16,22,2,2,2.2,0,0,0,0,0,37,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,86
haswell,embedded,2014,2002E,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,1,Intel® HD Graphics,400,0.900,1,3,22,3,16,22,2,2,1.5,0,0,0,0,0,25,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,86
ivy bridge,mobile,2012,2020M,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,650,1.1,0,3,22,2,1,22,2,2,2.4,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,134
ivy bridge,mobile,2013,2030M,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,650,1.1,0,3,22,2,1,22,2,2,2.5,0,0,0,0,0,35,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,134
ivy bridge,mobile,2012,2117U,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,1,0,3,22,2,1,22,2,2,1.8,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,134
ivy bridge,mobile,2013,2127U,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,1.1,0,3,22,2,1,22,2,2,1.9,0,0,0,0,0,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,134
ivy bridge,mobile,2013,2129Y,,,,2, SmartCache,40,DMI,SSE4.x,64-bit,32,DDR3/L/-RS 1333/1600,2,25.6,0,Intel® HD Graphics,350,0.85,0,3,22,0,0,22,2,2,1.1,0,0,0,0,0,10,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
haswell,mobile,2013,2950M,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,0,Intel® HD Graphics,400,1.1,0,3,0,2,16,22,2,2,2,0,0,0,0,0,37,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,75
haswell,mobile,2013,2955U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,10,22,2,2,1.4,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,107
haswell,mobile,2013,2957U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,10,22,2,2,1.4,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,107
haswell,mobile,2013,2961Y,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,0.85,0,3,0,2,12,22,2,2,1.1,0,0,0,0,0,11.5,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
haswell,mobile,2014,2970M,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,0,Intel® HD Graphics,400,1.1,0,3,0,2,16,22,2,2,2.2,0,0,0,0,0,37,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,75
haswell,mobile,2013,2980U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,12,22,2,2,1.6,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,107
haswell,embedded,2013,2980U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,12,22,2,2,1.6,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,107
haswell,mobile,2013,2981U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,12,22,2,2,1.6,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
broadwell,mobile,2015,3205U,,,,2,,40,DMI2,SSE4.1/4.2,64-bit,16,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6,0,Intel® HD Graphics,100,0.8,0,3,14,2,12,14,2,2,1.5,0,0,0,600,10 W,15,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,107
broadwell,mobile,2015,3215U,,,,2,,40,DMI2,SSE4.1/4.2,64-bit,16,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6,0,Intel® HD Graphics,300,0.85,0,3,14,2,12,14,2,2,1.7,0,0,0,600,10 W,15,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,107
haswell,mobile,2013,3550M,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,0,Intel® HD Graphics,400,1.1,0,3,0,2,16,22,2,2,2.3,0,0,0,0,0,37,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,134
haswell,mobile,2013,3556U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,10,22,2,2,1.7,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
haswell,mobile,2013,3558U,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,1,0,3,0,2,10,22,2,2,1.7,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,161
haswell,mobile,2014,3560M,,,,2,,40,DMI2,SSE4.1/4.2,64-bit,32,DDR3L 1333/1600,2,25.6,0,Intel® HD Graphics,400,1.1,0,3,0,2,16,22,2,2,2.4,0,0,0,0,0,37,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,134
haswell,mobile,2013,3560Y,,,,2, SmartCache,40,DMI2,SSE4.1/4.2,64-bit,16,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6,0,Intel® HD Graphics,200,0.85,0,3,0,2,12,22,2,2,1.2,0,0,0,0,0,11.5,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0
