id,Model name,Name,Producer,,Codename,cores,min_cores,max_cores,core,raw_clock,mid_clock_inter,val_mid,unit_mid,min_clock,max_clock_inter,max_clock,unit_clock_to,mid_final,unit_final,clock,Socket,Process (nm),L3 Cache,TDP (W),Released,rel_date,rel_year
24,AMD A4-3300,A4-3300,AMD,,Llano,2,,,2,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket FM1,32,N/A,65,"Sep 7th, 2011",Sep 7th,2011
25,AMD A4-3300M,A4-3300M,AMD,,Llano,2,,,2,"1,9 to 2,5 GHz",,,,"1,9"," 2,5 GHz","2,50",GHz,"2,2",GHz,"2,2",Socket FS1,32,N/A,35,"Jun 14th, 2011",Jun 14th,2011
26,AMD A4-3305M,A4-3305M,AMD,,Llano,2,,,2,"1,9 to 2,5 GHz",,,,"1,9"," 2,5 GHz","2,50",GHz,"2,2",GHz,"2,2",Socket FS1,32,N/A,35,"Jun 14th, 2011",Jun 14th,2011
27,AMD A4-3310MX,A4-3310MX,AMD,,Llano,2,,,2,"2,1 to 2,5 GHz",,,,"2,1"," 2,5 GHz","2,50",GHz,"2,3",GHz,"2,3",Socket FS1,32,N/A,35,"Jun 14th, 2011",Jun 14th,2011
28,AMD A4-3320M,A4-3320M,AMD,,Llano,2,,,2,"2 to 2,6 GHz",,,,2," 2,6 GHz","2,60",GHz,"2,3",GHz,"2,3",Socket FS1,32,N/A,35,"Dec 20th, 2011",Dec 20th,2011
29,AMD A4-3330MX,A4-3330MX,AMD,,Llano,2,,,2,"2,2 to 2,6 GHz",,,,"2,2"," 2,6 GHz","2,60",GHz,"2,4",GHz,"2,4",Socket FS1,32,N/A,45,"Dec 20th, 2011",Dec 20th,2011
30,AMD A4-3400,A4-3400,AMD,,Llano,2,,,2,"2,7 GHz","2,7 GHz","2,7",GHz,,,,,"2,7",GHz,"2,7",Socket FM1,32,N/A,65,"Sep 7th, 2011",Sep 7th,2011
31,AMD A4-3420,A4-3420,AMD,,Llano,2,,,2,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket FM1,32,N/A,65,"Dec 20th, 2011",Dec 20th,2011
32,AMD A4-4000,A4-4000,AMD,,Richland,2,,,2,"3 to 3,2 GHz",,,,3," 3,2 GHz","3,20",GHz,"3,1",GHz,"3,1",Socket FM2,32,N/A,65,"Jun 1st, 2013",Jun 1st,2013
33,AMD A4-4300M,A4-4300M,AMD,,Trinity,2,,,2,"2,5 to 3 GHz",,,,"2,5", 3 GHz,"3,00",GHz,"2,75",GHz,"2,75",Socket FS1r2,32,N/A,35,"May 15th, 2012",May 15th,2012
34,AMD A4-4355M,A4-4355M,AMD,,Trinity,2,,,2,"1,9 to 2,4 GHz",,,,"1,9"," 2,4 GHz","2,40",GHz,"2,15",GHz,"2,15",Socket FP2,32,N/A,17,"Sep 27th, 2012",Sep 27th,2012
35,AMD A4-5000,A4-5000,AMD,,Kabini,4,,,4,1500 MHz,1500 MHz,1500,MHz,,,,,1500,MHz,"1,5",Socket FT3,32,N/A,15,"May 23rd, 2013",May 23rd,2013
36,AMD A4-5050,A4-5050,AMD,,Kabini,4,,,4,1500 MHz,1500 MHz,1500,MHz,,,,,1500,MHz,"1,5",Socket FT3,32,N/A,15,"Feb 1st, 2014",Feb 1st,2014
37,AMD A4-5145M,A4-5145M,AMD,,Richland,2,,,2,"2 to 2,6 GHz",,,,2," 2,6 GHz","2,60",GHz,"2,3",GHz,"2,3",Socket FP2,32,N/A,17,"Jun 1st, 2013",Jun 1st,2013
38,AMD A4-5150M,A4-5150M,AMD,,Richland,2,,,2,"2,7 to 3,3 GHz",,,,"2,7"," 3,3 GHz","3,30",GHz,3,GHz,3,Socket FS1r2,32,N/A,35,"Mar 12th, 2013",Mar 12th,2013
39,AMD A4-5300,A4-5300,AMD,,Trinity,2,,,2,"3,4 to 3,6 GHz",,,,"3,4"," 3,6 GHz","3,60",GHz,"3,5",GHz,"3,5",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
40,AMD A4-5300B,A4-5300B,AMD,,Trinity,2,,,2,"3,4 to 3,6 GHz",,,,"3,4"," 3,6 GHz","3,60",GHz,"3,5",GHz,"3,5",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
41,AMD A4-6300,A4-6300,AMD,,Richland,2,,,2,"3,7 to 3,9 GHz",,,,"3,7"," 3,9 GHz","3,90",GHz,"3,8",GHz,"3,8",Socket FM2,32,N/A,65,"Jun 1st, 2013",Jun 1st,2013
42,AMD A6-1450,A6-1450,AMD,,Temash,4,,,4,1000 to 1400 MHz,,,,1000, 1400 MHz,"1 400,00",MHz,1200,MHz,"1,2",Socket FT3,32,N/A,8,"May 23rd, 2013",May 23rd,2013
43,AMD A6-3400M,A6-3400M,AMD,,Llano,4,,,4,"1,4 to 2,3 GHz",,,,"1,4"," 2,3 GHz","2,30",GHz,"1,85",GHz,"1,85",Socket FS1,32,N/A,35,"Jun 14th, 2011",Jun 14th,2011
44,AMD A6-3410MX,A6-3410MX,AMD,,Llano,4,,,4,"1,6 to 2,3 GHz",,,,"1,6"," 2,3 GHz","2,30",GHz,"1,95",GHz,"1,95",Socket FS1,32,N/A,45,"Jun 14th, 2011",Jun 14th,2011
45,AMD A6-3420M,A6-3420M,AMD,,Llano,4,,,4,"1,5 to 2,4 GHz",,,,"1,5"," 2,4 GHz","2,40",GHz,"1,95",GHz,"1,95",Socket FS1,32,N/A,35,"Dec 20th, 2011",Dec 20th,2011
46,AMD A6-3430MX,A6-3430MX,AMD,,Llano,4,,,4,"1,7 to 2,4 GHz",,,,"1,7"," 2,4 GHz","2,40",GHz,"2,05",GHz,"2,05",Socket FS1,32,N/A,45,"Dec 20th, 2011",Dec 20th,2011
47,AMD A6-3500,A6-3500,AMD,,Llano,3,,,3,"2,1 to 2,4 GHz",,,,"2,1"," 2,4 GHz","2,40",GHz,"2,25",GHz,"2,25",Socket FM1,32,N/A,65,"Aug 17th, 2011",Aug 17th,2011
48,AMD A6-3600,A6-3600,AMD,,Llano,4,,,4,"2,1 to 2,4 GHz",,,,"2,1"," 2,4 GHz","2,40",GHz,"2,25",GHz,"2,25",Socket FM1,32,N/A,65,"Jun 30th, 2011",Jun 30th,2011
49,AMD A6-3620,A6-3620,AMD,,Llano,4,,,4,"2,2 to 2,5 GHz",,,,"2,2"," 2,5 GHz","2,50",GHz,"2,35",GHz,"2,35",Socket FM1,32,N/A,65,"Dec 20th, 2011",Dec 20th,2011
50,AMD A6-3650,A6-3650,AMD,,Llano,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket FM1,32,N/A,100,"Jun 30th, 2011",Jun 30th,2011
51,AMD A6-3670K,A6-3670K,AMD,,Llano,4,,,4,"2,7 GHz","2,7 GHz","2,7",GHz,,,,,"2,7",GHz,"2,7",Socket FM1,32,N/A,100,"Dec 20th, 2011",Dec 20th,2011
52,AMD A6-4400M,A6-4400M,AMD,,Trinity,2,,,2,"2,7 to 3,2 GHz",,,,"2,7"," 3,2 GHz","3,20",GHz,"2,95",GHz,"2,95",Socket FS1r2,32,N/A,35,"May 15th, 2012",May 15th,2012
53,AMD A6-4455M,A6-4455M,AMD,,Trinity,2,,,2,"2,1 to 2,6 GHz",,,,"2,1"," 2,6 GHz","2,60",GHz,"2,35",GHz,"2,35",Socket FP2,32,N/A,17,"May 15th, 2012",May 15th,2012
54,AMD A6-5200,A6-5200,AMD,,Kabini,4,,,4,2000 MHz,2000 MHz,2000,MHz,,,,,2000,MHz,2,Socket FT3,32,N/A,25,"May 23rd, 2013",May 23rd,2013
55,AMD A6-5345M,A6-5345M,AMD,,Richland,2,,,2,"2,2 to 2,8 GHz",,,,"2,2"," 2,8 GHz","2,80",GHz,"2,5",GHz,"2,5",Socket FP2,32,N/A,17,"Jun 1st, 2013",Jun 1st,2013
56,AMD A6-5350M,A6-5350M,AMD,,Richland,2,,,2,"2,9 to 3,5 GHz",,,,"2,9"," 3,5 GHz","3,50",GHz,"3,2",GHz,"3,2",Socket FS1r2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
57,AMD A6-5357M,A6-5357M,AMD,,Richland,2,,,2,"2,9 to 3,5 GHz",,,,"2,9"," 3,5 GHz","3,50",GHz,"3,2",GHz,"3,2",Socket FP2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
58,AMD A6-5400B,A6-5400B,AMD,,Trinity,2,,,2,"3,6 to 3,8 GHz",,,,"3,6"," 3,8 GHz","3,80",GHz,"3,7",GHz,"3,7",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
59,AMD A6-5400K,A6-5400K,AMD,,Trinity,2,,,2,"3,6 to 3,8 GHz",,,,"3,6"," 3,8 GHz","3,80",GHz,"3,7",GHz,"3,7",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
60,AMD A6-6400K,A6-6400K,AMD,,Richland,2,,,2,"3,9 to 4,1 GHz",,,,"3,9"," 4,1 GHz","4,10",GHz,4,GHz,4,Socket FM2,32,N/A,65,"Jun 1st, 2013",Jun 1st,2013
61,AMD A6-9120C SoC,A6-9120C SoC,AMD,,Stoney Ridge,2,,,2,"1,6 to 2,4 GHz",,,,"1,6"," 2,4 GHz","2,40",GHz,2,GHz,2,Socket FT4,28,N/A,6,"Jan 7th, 2019",Jan 7th,2019
62,AMD A6-9220C SoC,A6-9220C SoC,AMD,,Stoney Ridge,2,,,2,"1,8 to 2,7 GHz",,,,"1,8"," 2,7 GHz","2,70",GHz,"2,25",GHz,"2,25",Socket FT4,28,N/A,6,"Jan 7th, 2019",Jan 7th,2019
63,AMD A6-9500,A6-9500,AMD,,Bristol Ridge,2,,,2,"3,5 to 3,8 GHz",,,,"3,5"," 3,8 GHz","3,80",GHz,"3,65",GHz,"3,65",Socket AM4,28,N/A,65,"Jul 27th, 2017",Jul 27th,2017
64,AMD A6-9500E,A6-9500E,AMD,,Bristol Ridge,2,,,2,"3 to 3,4 GHz",,,,3," 3,4 GHz","3,40",GHz,"3,2",GHz,"3,2",Socket AM4,28,N/A,35,"Jul 27th, 2017",Jul 27th,2017
65,AMD A6-9550,A6-9550,AMD,,Bristol Ridge,2,,,2,"3,8 to 4 GHz",,,,"3,8", 4 GHz,"4,00",GHz,"3,9",GHz,"3,9",Socket AM4,28,N/A,65,"Jul 27th, 2017",Jul 27th,2017
66,AMD A8-3500M,A8-3500M,AMD,,Llano,4,,,4,"1,5 to 2,4 GHz",,,,"1,5"," 2,4 GHz","2,40",GHz,"1,95",GHz,"1,95",Socket FS1,32,N/A,35,"Jun 14th, 2011",Jun 14th,2011
67,AMD A8-3510MX,A8-3510MX,AMD,,Llano,4,,,4,"1,8 to 2,5 GHz",,,,"1,8"," 2,5 GHz","2,50",GHz,"2,15",GHz,"2,15",Socket FS1,32,N/A,45,"Jun 14th, 2011",Jun 14th,2011
68,AMD A8-3520M,A8-3520M,AMD,,Llano,4,,,4,"1,6 to 2,5 GHz",,,,"1,6"," 2,5 GHz","2,50",GHz,"2,05",GHz,"2,05",Socket FS1,32,N/A,35,"Dec 20th, 2011",Dec 20th,2011
69,AMD A8-3530MX,A8-3530MX,AMD,,Llano,4,,,4,"1,9 to 2,6 GHz",,,,"1,9"," 2,6 GHz","2,60",GHz,"2,25",GHz,"2,25",Socket FS1,32,N/A,45,"Jun 14th, 2011",Jun 14th,2011
70,AMD A8-3550MX,A8-3550MX,AMD,,Llano,4,,,4,"2 to 2,7 GHz",,,,2," 2,7 GHz","2,70",GHz,"2,35",GHz,"2,35",Socket FS1,32,N/A,45,"Dec 20th, 2011",Dec 20th,2011
71,AMD A8-3800,A8-3800,AMD,,Llano,4,,,4,"2,4 to 2,7 GHz",,,,"2,4"," 2,7 GHz","2,70",GHz,"2,55",GHz,"2,55",Socket FM1,32,N/A,65,"Jun 30th, 2011",Jun 30th,2011
72,AMD A8-3820,A8-3820,AMD,,Llano,4,,,4,"2,5 to 2,8 GHz",,,,"2,5"," 2,8 GHz","2,80",GHz,"2,65",GHz,"2,65",Socket FM1,32,N/A,65,"Dec 20th, 2011",Dec 20th,2011
73,AMD A8-3850,A8-3850,AMD,,Llano,4,,,4,"2,9 GHz","2,9 GHz","2,9",GHz,,,,,"2,9",GHz,"2,9",Socket FM1,32,N/A,100,"Jun 30th, 2011",Jun 30th,2011
74,AMD A8-3870K,A8-3870K,AMD,,Llano,4,,,4,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket FM1,32,N/A,100,"Dec 20th, 2011",Dec 20th,2011
75,AMD A8-4500M,A8-4500M,AMD,,Trinity,4,,,4,"1,9 to 2,8 GHz",,,,"1,9"," 2,8 GHz","2,80",GHz,"2,35",GHz,"2,35",Socket FS1r2,32,N/A,35,"May 15th, 2012",May 15th,2012
76,AMD A8-4555M,A8-4555M,AMD,,Trinity,4,,,4,"1,6 to 2,4 GHz",,,,"1,6"," 2,4 GHz","2,40",GHz,2,GHz,2,Socket FP2,32,N/A,19,"Sep 27th, 2012",Sep 27th,2012
77,AMD A8-5500,A8-5500,AMD,,Trinity,4,,,4,"3,2 to 3,7 GHz",,,,"3,2"," 3,7 GHz","3,70",GHz,"3,45",GHz,"3,45",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
78,AMD A8-5500B,A8-5500B,AMD,,Trinity,4,,,4,"3,2 to 3,7 GHz",,,,"3,2"," 3,7 GHz","3,70",GHz,"3,45",GHz,"3,45",Socket FM2,32,N/A,65,"Oct 2nd, 2012",Oct 2nd,2012
79,AMD A8-5545M,A8-5545M,AMD,,Richland,4,,,4,"1,7 to 2,7 GHz",,,,"1,7"," 2,7 GHz","2,70",GHz,"2,2",GHz,"2,2",Socket FP2,32,N/A,25,"Jun 1st, 2013",Jun 1st,2013
80,AMD A8-5550M,A8-5550M,AMD,,Richland,4,,,4,"2,1 to 3,1 GHz",,,,"2,1"," 3,1 GHz","3,10",GHz,"2,6",GHz,"2,6",Socket FS1r2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
81,AMD A8-5557M,A8-5557M,AMD,,Richland,4,,,4,"2,1 to 3,1 GHz",,,,"2,1"," 3,1 GHz","3,10",GHz,"2,6",GHz,"2,6",Socket FP2,32,N/A,35,"Jun 1st, 2013",Jun 1st,2013
82,AMD A8-5600K,A8-5600K,AMD,,Trinity,4,,,4,"3,6 to 3,9 GHz",,,,"3,6"," 3,9 GHz","3,90",GHz,"3,75",GHz,"3,75",Socket FM2,32,N/A,100,"Oct 2nd, 2012",Oct 2nd,2012
83,AMD A8-6500,A8-6500,AMD,,Richland,4,,,4,"3,5 to 4,1 GHz",,,,"3,5"," 4,1 GHz","4,10",GHz,"3,8",GHz,"3,8",Socket FM2,32,N/A,65,"Jun 1st, 2013",Jun 1st,2013
84,AMD A8-6600K,A8-6600K,AMD,,Richland,4,,,4,"3,9 to 4,2 GHz",,,,"3,9"," 4,2 GHz","4,20",GHz,"4,05",GHz,"4,05",Socket FM2,32,N/A,100,"Jun 1st, 2013",Jun 1st,2013
85,AMD A8-7680,A8-7680,AMD,,Godaveri,4,,,4,"3,5 to 3,8 GHz",,,,"3,5"," 3,8 GHz","3,80",GHz,"3,65",GHz,"3,65",Socket FM2+,28,N/A,45,"Oct 26th, 2018",Oct 26th,2018
86,AMD A8-9600,A8-9600,AMD,,Bristol Ridge,4,,,4,"3,1 to 3,4 GHz",,,,"3,1"," 3,4 GHz","3,40",GHz,"3,25",GHz,"3,25",Socket AM4,28,N/A,65,"Jul 27th, 2017",Jul 27th,2017
87,AMD A9-9400 SoC,A9-9400 SoC,AMD,,Stoney Ridge,2,,,2,"2,4 to 3,2 GHz",,,,"2,4"," 3,2 GHz","3,20",GHz,"2,8",GHz,"2,8",Socket FT4,28,N/A,10,"May 31st, 2016",May 31st,2016
88,AMD A9-9410 SoC,A9-9410 SoC,AMD,,Stoney Ridge,2,,,2,"2,9 to 3,5 GHz",,,,"2,9"," 3,5 GHz","3,50",GHz,"3,2",GHz,"3,2",Socket FP4,28,N/A,25,"May 31st, 2016",May 31st,2016
89,AMD A9-9420 SoC,A9-9420 SoC,AMD,,Stoney Ridge,2,,,2,"3 to 3,6 GHz",,,,3," 3,6 GHz","3,60",GHz,"3,3",GHz,"3,3",Socket FT4,28,N/A,15,"May 31st, 2016",May 31st,2016
90,AMD A9-9425 SoC,A9-9425 SoC,AMD,,Stoney Ridge,2,,,2,"3,1 to 3,7 GHz",,,,"3,1"," 3,7 GHz","3,70",GHz,"3,4",GHz,"3,4",Socket FT4,28,N/A,15,"May 31st, 2016",May 31st,2016
91,AMD Athlon 1000,Athlon 1000,AMD,,Thunderbird C,1,,,1,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket A,180,N/A,54,"Oct 31st, 2000",Oct 31st,2000
92,AMD Athlon 1000,Athlon 1000,AMD,,Thunderbird B,1,,,1,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket A,180,N/A,54,"Jun 5th, 2000",Jun 5th,2000
93,AMD Athlon 1100,Athlon 1100,AMD,,Thunderbird B,1,,,1,1100 MHz,1100 MHz,1100,MHz,,,,,1100,MHz,"1,1",Socket A,180,N/A,60,"Aug 14th, 2000",Aug 14th,2000
94,AMD Athlon 1133,Athlon 1133,AMD,,Thunderbird C,1,,,1,1133 MHz,1133 MHz,1133,MHz,,,,,1133,MHz,1133,Socket A,180,N/A,63,"Oct 31st, 2000",Oct 31st,2000
95,AMD Athlon 1200,Athlon 1200,AMD,,Thunderbird C,1,,,1,1200 MHz,1200 MHz,1200,MHz,,,,,1200,MHz,"1,2",Socket A,180,N/A,66,"Oct 31st, 2000",Oct 31st,2000
96,AMD Athlon 1200,Athlon 1200,AMD,,Thunderbird B,1,,,1,1200 MHz,1200 MHz,1200,MHz,,,,,1200,MHz,"1,2",Socket A,180,N/A,66,"Oct 17th, 2000",Oct 17th,2000
97,AMD Athlon 1300,Athlon 1300,AMD,,Thunderbird B,1,,,1,1300 MHz,1300 MHz,1300,MHz,,,,,1300,MHz,"1,3",Socket A,180,N/A,68,"Mar 21st, 2001",Mar 21st,2001
98,AMD Athlon 1333,Athlon 1333,AMD,,Thunderbird C,1,,,1,1333 MHz,1333 MHz,1333,MHz,,,,,1333,MHz,1333,Socket A,180,N/A,70,"Mar 21st, 2001",Mar 21st,2001
99,AMD Athlon 1400,Athlon 1400,AMD,,Thunderbird C,1,,,1,1400 MHz,1400 MHz,1400,MHz,,,,,1400,MHz,"1,4",Socket A,180,N/A,72,"Jun 6th, 2001",Jun 6th,2001
100,AMD Athlon 1400,Athlon 1400,AMD,,Thunderbird B,1,,,1,1400 MHz,1400 MHz,1400,MHz,,,,,1400,MHz,"1,4",Socket A,180,N/A,72,"Jun 6th, 2001",Jun 6th,2001
101,AMD Athlon 200GE,Athlon 200GE,AMD,,Zen,2 / 4,2,4,3,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM4,14,4MB,35,"Sep 6th, 2018",Sep 6th,2018
102,AMD Athlon 220GE,Athlon 220GE,AMD,,Zen,2 / 4,2,4,3,"3,4 GHz","3,4 GHz","3,4",GHz,,,,,"3,4",GHz,"3,4",Socket AM4,14,4MB,35,"Dec 21st, 2018",Dec 21st,2018
103,AMD Athlon 220GE,Athlon 220GE,AMD,,Zen,2 / 4,2,4,3,"3,4 GHz","3,4 GHz","3,4",GHz,,,,,"3,4",GHz,"3,4",Socket AM4,14,4MB,35,"Jun 1st, 2018",Jun 1st,2018
104,AMD Athlon 220GE,Athlon 220GE,AMD,,Zen,2 / 4,2,4,3,"3,4 GHz","3,4 GHz","3,4",GHz,,,,,"3,4",GHz,"3,4",Socket AM4,14,4MB,35,"Dec 21st, 2018",Dec 21st,2018
105,AMD Athlon 240GE,Athlon 240GE,AMD,,Zen,2 / 4,2,4,3,"3,5 GHz","3,5 GHz","3,5",GHz,,,,,"3,5",GHz,"3,5",Socket AM4,14,4MB,35,"Dec 21st, 2018",Dec 21st,2018
106,AMD Athlon 3000G,Athlon 3000G,AMD,,Zen,2 / 4,2,4,3,"3,5 GHz","3,5 GHz","3,5",GHz,,,,,"3,5",GHz,"3,5",Socket AM4,14,4MB,35,"Nov 20th, 2019",Nov 20th,2019
107,AMD Athlon 300U,Athlon 300U,AMD,,Raven Ridge 2,2 / 4,2,4,3,"2,4 to 3,3 GHz",,,,"2,4"," 3,3 GHz","3,30",GHz,"2,85",GHz,"2,85",Socket FP5,14,4MB,15,"Jan 6th, 2019",Jan 6th,2019
108,AMD Athlon 600,Athlon 600,AMD,,Thunderbird,1,,,1,600 MHz,600 MHz,600,MHz,,,,,600,MHz,"0,6",Socket A,180,N/A,38,"Jun 5th, 2000",Jun 5th,2000
109,AMD Athlon 64 1500+,Athlon 64 1500+,AMD,,Venice,1,,,1,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket 754,90,N/A,9,"Nov 7th, 2005",Nov 7th,2005
110,AMD Athlon 64 2000+,Athlon 64 2000+,AMD,,Lima,1,,,1,1000 MHz,1000 MHz,1000,MHz,,,,,1000,MHz,1,Socket AM2,65,N/A,8,"Jun 1st, 2008",Jun 1st,2008
111,AMD Athlon 64 2600+,Athlon 64 2600+,AMD,,Lima,1,,,1,1600 MHz,1600 MHz,1600,MHz,,,,,1600,MHz,"1,6",Socket AM2,65,N/A,15,"Jan 1st, 2008",Jan 1st,2008
112,AMD Athlon 64 2650e,Athlon 64 2650e,AMD,,Lima,1,,,1,1600 MHz,1600 MHz,1600,MHz,,,,,1600,MHz,"1,6",Socket AM2,65,N/A,15,"Jan 1st, 2009",Jan 1st,2009
113,AMD Athlon 64 2700+,Athlon 64 2700+,AMD,,NewCastle,1,,,1,1600 MHz,1600 MHz,1600,MHz,,,,,1600,MHz,"1,6",Socket 754,130,N/A,32,"Apr 27th, 2004",Apr 27th,2004
